warehouse_order_line_ID,warehouse_order_date,purchase_order_date,purchase_order_no,vendor,is_hazmat,selling_marketplace,selling_marketplace_client_SKU,selling_marketplace_product_title,selling_marketplace_ASIN,selling_marketplace_photo_link,selling_marketplace_bundle_count,purchase_bundle_count,purchase_order_quantity,purchase_order_quantity_single_units,total_sellable_units,total_warehouse_order_cost,sellable_unit_cost,notes_to_warehouse,,warehouse_order_receiving_status,received_single_units_quantity,received_single_units_damaged_quantity,awaiting_single_units,received_sellable_units_quantity,first_received_date,last_received_date,warehouse_notes,,PB_log,PB_unique,sell_bundle,FULL_sku,FULL_sell_bundle,FORMULA_HELPER
412_0000041,,6/11/2025,112-9827171-7829002,amazon,no,UK FBA,uk-B000GJQEMS,Solgar CoQ-10 (Coenzyme Q-10) 200 mg Vegetable Capsules - Pack of 30,B000GJQEMS,link,1,1,5,5,5,$93.29,$18.66,,,complete,5,0,0,5,,6/23/2025,,,,,,uk-B000GJQEMS,1,
412_0000042,,6/11/2025,113-8314425-0940239,amazon,no,UK FBA,uk-B06WVL7YSG,"Meguiar’s Quik Scratch Eraser Kit, Car Scratch Remover That Removes Blemishes, Includes Meguiar’s ScratchX, Drill-Mounted Pad, Microfiber Towel",B06WVL7YSG,link,1,1,30,30,30,$435.60,$14.52,,,complete,30,0,0,30,,6/13/2025,,,,,,uk-B06WVL7YSG,1,
412_0000043,,6/11/2025,113-9521390-2687434,amazon,no,UK FBA,uk-B08KKVMNMJ,"Colgate Kids Battery Powered Toothbrush, Unicorn, 1 Count",B08KKVMNMJ,link,1,1,50,50,50,$254.57,$5.09,,,complete,50,0,0,50,,6/16/2025,,,,,,uk-B08KKVMNMJ,1,
412_0000044,,6/11/2025,113-9761082-5120256,amazon,no,UK FBA,uk-B000H48WYA,OPTP The Original McKenzie Lumbar Roll Low Back Support for Office Chairs and Car Seats - Standard Density,B000H48WYA,link,1,1,17,17,17,$407.15,$23.95,,,complete,17,0,0,17,,6/16/2025,,,,,,uk-B000H48WYA,1,
412_0000045,,6/11/2025,113-5912446-1605027,amazon,no,UK FBA,uk-B07GDT961B,"Cetaphil Cetaphil Pro Oil Absorbing Moisturizer With Spf 30 Broad Spectrum Sunscreen, 4 Ounce",B07GDT961B,link,1,1,35,35,35,$390.28,$11.15,,,complete,35,0,0,35,,6/16/2025,,,,,,uk-B07GDT961B,1,
412_0000046,,6/11/2025,113-2979161-6845806,amazon,no,UK FBA,uk-B08C6J72KB,"Mad Rabbit Tattoo Enhance Balm & Aftercare Cream 48ml Tattoo Brightener & Moisturising Cream for Colour Enhancement, Organic & Natural, Frankincense & Lavender",B08C6J72KB,link,1,1,20,20,20,$173.40,$8.67,,,complete,20,0,0,20,,6/16/2025,,,,,,uk-B08C6J72KB,1,
412_0000047,,6/11/2025,113-5179730-8663463,amazon,no,UK FBA,uk-B01FQLWWSU,DEWALT DWHT47372 Heavy Duty Chalk Line Reel,B01FQLWWSU,link,1,1,20,20,20,$159.80,$7.99,,,complete,20,0,0,20,,6/18/2025,,,,,,uk-B01FQLWWSU,1,
412_0000048,,6/11/2025,113-5857617-1265856,amazon,no,UK FBA,uk-B00CHHKJ2S,"Dove Men Care Clinical Protection Antiperspirant And Deodorant, 1.7 Oz",B00CHHKJ2S,link,1,1,15,15,15,$103.88,$6.93,,,complete,15,0,0,15,,6/18/2025,,,,,,uk-B00CHHKJ2S,1,
412_0000049,,6/11/2025,113-4552619-8003405,amazon,no,UK FBA,uk-B000GJQEMS,Solgar CoQ-10 (Coenzyme Q-10) 200 mg Vegetable Capsules - Pack of 30,B000GJQEMS,link,1,1,5,5,5,$93.29,$18.66,,,complete,5,0,0,5,,6/16/2025,,,,,,uk-B000GJQEMS,1,
412_0000050,,6/11/2025,113-7687396-3701865,amazon,no,UK FBA,uk-B007X4VKZU,"Kinesio FP Tape Roll - BEIGE, 5m x 5cm",B007X4VKZU,link,1,1,10,10,10,$134.90,$13.49,,,complete,10,0,0,10,,6/16/2025,,,,,,uk-B007X4VKZU,1,
412_0000051,,6/11/2025,113-2876283-5112202,amazon,no,UK FBA,uk-B0CPMX764D,"Bluey Unicorse & Bob Bilby Hand Puppet Plush 2-Pack – 8-9” Soft Deluxe Fabric, Embroidered Details, Perfect for Toddler Hands, Imaginative Play, Official Bluey Toys, Amazon Exclusive",B0CPMX764D,link,1,1,20,20,20,$339.80,$16.99,,,complete,20,0,0,20,,6/17/2025,,,,,,uk-B0CPMX764D,1,
412_0000052,,6/11/2025,113-2738929-3444224,amazon,no,UK FBA,uk-B077HVLXZS,"Kelo-Cote Advanced Formula Scar Gel, 0.35 Ounce",B077HVLXZS,link,1,1,15,15,15,$299.25,$19.95,,,complete,15,0,0,15,,6/16/2025,,,,,,uk-B077HVLXZS,1,
412_0000053,,6/11/2025,113-3334934-3668212,amazon,no,UK FBA,uk-B00XK4JP0Y,Burts Bees Dander Reducing Spray 296ml,B00XK4JP0Y,link,1,1,20,20,20,$70.04,$3.50,,,complete,20,0,0,20,,6/17/2025,,,,,,uk-B00XK4JP0Y,1,
412_0000054,,6/11/2025,113-9580607-0374653,amazon,no,UK FBA,uk-B01F9BNC90,"SoCozy Swim Leave-In Treatment & Conditioner with Activated Charcoal - Protects & Repairs Hair Damaged by Pool Chemicals, Saltwater, the Sun - Loco Lime Scent, 8 Fluid oz",B01F9BNC90,link,1,1,20,20,20,$182.58,$9.13,,,complete,20,0,0,20,,6/16/2025,,,,,,uk-B01F9BNC90,1,
412_0000055,,6/11/2025,113-6608313-3070642,amazon,no,UK FBA,uk-B07BSBBVZW,"Sawyer Products SP5642 20% Picaridin Insect Repellent, Lotion, 4-Ounce, Twin Pack",B07BSBBVZW,link,2,2,15,30,15,$261.45,$17.43,,,complete,30,0,0,15,,6/16/2025,,,,,,uk-B07BSBBVZW,2,
412_0000056,,6/11/2025,113-0504810-3209004,amazon,no,UK FBA,uk-B07MWJLWZJ,"Badger - Kids Sport Clear Zinc Sunscreen Spf 40, Tangerine And Vanilla Scent - 2.9 Oz Tube",B07MWJLWZJ,link,1,2,10,20,20,$278.90,$13.95,,,complete,20,0,0,20,,6/16/2025,,,,,,uk-B07MWJLWZJ,1,
412_0000057,,6/11/2025,113-9610442-1825018,amazon,no,UK FBA,uk-B0815T21XV,"Dr. Mercola H2 Molecular Hydrogen Dietary Supplement, 30 Servings (30 Tablets), Non GMO, Gluten Free, Soy Free",B0815T21XV,link,1,1,10,10,10,$179.72,$17.97,,,complete,10,0,0,10,,6/16/2025,,,,,,uk-B0815T21XV,1,
412_0000058,,6/11/2025,113-2733253-4565064,amazon,no,UK FBA,uk-B004X1QCC2,"e.l.f. Flawless Finish Foundation, Lightweight & Medium Coverage, Semi-Matte Finish, Vegan & Cruelty-Free, Bisque, 20ml",B004X1QCC2,link,1,1,20,20,20,$102.00,$5.10,zarar yazıldı,,complete,11,9,0,11,,6/16/2025,,,,,,uk-B004X1QCC2,1,
412_0000059,,6/11/2025,113-0496243-3150656,amazon,no,UK FBA,uk-B003KKH9OW,"Douglas 4009 Dogs Border Collie Plush Toy, 20 cm Long",B003KKH9OW,link,1,1,30,30,30,$400.50,$13.35,,,complete,30,0,0,30,,6/16/2025,,,,,,uk-B003KKH9OW,1,
412_0000060,,6/11/2025,113-6639814-9255419,amazon,no,UK FBA,uk-B004CZ2YBW,Thuricide HPC BT 8oz Caterpillar & Worm Control,B004CZ2YBW,link,1,1,40,40,40,$416.86,$10.42,,,complete,40,0,0,40,,6/16/2025,,,,,,uk-B004CZ2YBW,1,
412_0000061,,6/11/2025,113-5032068-4367418,amazon,no,UK FBA,uk-B001CD9RRG,"Bic Extra Strong Mechanical Pencils 2, Multi-Colour",B001CD9RRG,link,1,1,40,40,40,$215.64,$5.39,,,complete,40,0,0,40,,6/16/2025,,,,,,uk-B001CD9RRG,1,
412_0000062,,6/11/2025,113-0965197-6230632,amazon,no,UK FBA,uk-B000BTRP30,Swedish Clover Foot File,B000BTRP30,link,1,1,30,30,30,$207.76,$6.93,,,complete,30,0,0,30,,6/16/2025,,,,,,uk-B000BTRP30,1,
412_0000063,,6/11/2025,113-7324958-7505047,amazon,no,UK FBA,uk-B00TZLTVUA,"Thermos Replacement Straws for 12 Ounce Funtainer Bottle, Clear",B00TZLTVUA,link,1,1,20,20,20,$92.00,$4.60,,,complete,20,0,0,20,,6/16/2025,,,,,,uk-B00TZLTVUA,1,
412_0000064,,6/11/2025,113-7342507-6657824,amazon,no,UK FBA,uk-B072QXB8KX,Sun Bum SPF 30 Mineral Sunscreen Lip Balm | Hawaii 104 Act Compliant (Octinoxate & Oxybenzone Free) Broad Spectrum Natural Lip Care with UVA/UVB Protection | .15 oz,B072QXB8KX,link,1,1,40,40,40,$135.66,$3.39,,,complete,40,0,0,40,,6/16/2025,,,,,,uk-B072QXB8KX,1,
412_0000065,,6/11/2025,113-2483816-6576233,amazon,no,UK FBA,uk-B00DG8F04Y,"NIVEA Essentially Enriched Body Lotion for Dry Skin, 48-Hour Moisturizing Lotion with Deep Nourishing Serum and Almond Oil, 16.9 Fl Oz Pump Bottle",B00DG8F04Y,link,1,1,30,30,30,$159.12,$5.30,,,complete,30,0,0,30,,6/16/2025,,,,,,uk-B00DG8F04Y,1,
412_0000066,,6/10/2025,113-4169234-1301826,amazon,no,UK FBA,uk-B074ZGHFRM,Cetaphil Deep Cleansing Face & Body Bar for All Skin Types (Pack of 3),B074ZGHFRM,link,3,6,15,90,30,$222.36,$7.41,,,complete,90,0,0,30,,6/17/2025,,,,,,uk-B074ZGHFRM,3,
412_0000067,,6/10/2025,113-4456912-5285835,amazon,no,UK FBA,uk-B002YI74U0,"Walex Bio-Active Home Septic Tank Treatment - Strong Digestive Power with Beneficial Bacteria & Enzymes for Liquefying Solids & Breaking Down Waste, Odor Neutralizer -1 Year Supply, 12 Packets",B002YI74U0,link,1,1,25,25,25,$317.05,$12.68,,,complete,25,0,0,25,,6/18/2025,,,,,,uk-B002YI74U0,1,
412_0000068,,6/10/2025,112-3287311-2224227,amazon,no,UK FBA,uk-B084R1KZ1Z,Banana Boat Light As Air Reef Friendly Broad Spectrum Sun Protection Lotion SPF 50 6oz Twin Pack,B084R1KZ1Z,link,2,2,30,60,30,$445.74,$14.86,,,complete,60,0,0,30,,6/16/2025,,,,,,uk-B084R1KZ1Z,2,
412_0000069,,6/10/2025,111-0914969-1249851,amazon,no,UK FBA,uk-B0BR4S8FLT,"Topicals High Roller Ingrown Hair Tonic with Salicylic Acid, AHAs and BHAs - Daily Treatment for Razor Bumps, Irritation and Ingrown Hairs - Suitable for Face & Body (1.7 Fl Oz)",B0BR4S8FLT,link,1,1,10,10,10,$221.00,$22.10,,,complete,10,0,0,10,,6/16/2025,,,,,,uk-B0BR4S8FLT,1,
412_0000070,,6/10/2025,113-2517211-1875465,amazon,no,UK FBA,uk-B01BF6UX5E,NEUTROGENA - Healthy Skin SPF 20 Anti Aging Perfector Fair to Light - 1 fl. oz. (30 ml),B01BF6UX5E,link,1,1,10,10,10,$103.95,$10.40,,,complete,10,0,0,10,,6/16/2025,,,,,,uk-B01BF6UX5E,1,
412_0000071,,6/10/2025,113-1844480-7825052,amazon,no,UK FBA,uk-B078CPWMK9,Bug-A-Salt Bug-Beam,B078CPWMK9,link,1,1,50,50,50,$897.50,$17.95,,,complete,50,0,0,50,,6/16/2025,,,,,,uk-B078CPWMK9,1,
412_0000072,,6/15/2025,112-9602258-2341804,amazon,no,UK FBA,uk-B07BRDVK2L,"AmLactin Rapid Relief Restoring Lotion + Ceramides, 7.9 Ounce, Paraben Free",B07BRDVK2L,link,1,1,20,20,20,$201.40,$10.07,,,complete,20,0,0,20,,7/1/2025,,,,,,uk-B07BRDVK2L,1,
412_0000073,,6/15/2025,114-9546365-8001863,amazon,no,UK FBA,uk-B07BRDVQ4B,"AmLactin Daily Moisturizing Body Lotion, 14.1 Ounce Bottle with Pump, Paraben Free",B07BRDVQ4B,link,1,1,30,30,30,$370.21,$12.34,,,complete,30,0,0,30,,7/1/2025,,,,,,uk-B07BRDVQ4B,1,
412_0000074,,6/12/2025,113-5273234-7779402,amazon,no,UK FBA,uk-B084LJ5XJ3,"Herbal Essences Shine Collection Shampoo, 29.2 fl oz",B084LJ5XJ3,link,1,1,10,10,10,$93.40,$9.34,,,complete,10,0,0,10,,6/16/2025,,,,,,uk-B084LJ5XJ3,1,
