warehouse_order_line_ID,warehouse_order_date,purchase_order_date,purchase_order_no,vendor,is_hazmat,selling_marketplace,selling_marketplace_client_SKU,selling_marketplace_product_title,selling_marketplace_ASIN,selling_marketplace_photo_link,selling_marketplace_bundle_count,purchase_bundle_count,purchase_order_quantity,purchase_order_quantity_single_units,total_sellable_units,total_warehouse_order_cost,sellable_unit_cost,notes_to_warehouse,,warehouse_order_receiving_status,received_single_units_quantity,received_single_units_damaged_quantity,awaiting_single_units,received_sellable_units_quantity,first_received_date,last_received_date,warehouse_notes,,PB_log,PB_unique,sell_bundle,FULL_sku,FULL_sell_bundle,FORMULA_HELPER
561_0000011,,1/8/2025,111-7906199-1335443,amazon.com,,CA,FBA90121,"Karo Light Corn Syrup, 16 fl oz",B00061EYDW,https://www.amazon.ca/Karo-Light-Corn-Syrup-16/dp/B00061EYDW/ref=sr_1_5?crid=J7D086FOA96D&dib=eyJ2IjoiMSJ9.dtDt1xIkjyd9fia2L6DDQw.DYHi0tCie_RdzpP0gWgiYLnJL1Prymx7MqtNKsMEmu8&dib_tag=se&keywords=B00061EYDW&qid=1736372875&sprefix=b00061eydw%2Caps%2C495&sr=8-5,1,0,0,0,0,$0.00,,,,complete,0,0,0,0,,12/30/1899,,,30737,30458,2,FBA90121,1,
561_0000012,,1/8/2025,114-5897278-4721037,amazon.com,,UK,30023,"Dude Wipes Flushable Wet Wipes Dispenser (3 Packs 48 Wipes), Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use, Septic and Sewer Safe",B01NAPQ4QP,https://www.amazon.com/dp/B01NAPQ4QP?psc=1&smid=A2Q1LRYTXHYQ2K&ref_=chk_typ_imgToDp,3,3,60,180,60,$423.60,$7.06,,,complete,180,0,0,60,,1/15/2025,NO SLIP IN TBADD0020117380//48//00,,30618,30804,1,30023,3,
561_0000013,,1/9/2025,114-9483663-4821806,amazon-FBM,,CA,FBA90030,"St. Joseph St. Joseph Aspirin Chewable Orange, Orange 36 tabs 81 mg (Pack of 3)",B00E4MSWC8,https://www.amazon.ca/dp/B00E4MSWC8,3,3,40,120,40,$270.40,$6.76,,,complete,120,0,0,40,,1/20/2025,NO SLIP,,30618,30200,1,FBA90030,3,
561_0000014,,1/9/2025,114-9381460-9299443,amazon-FBM,,CA,FBA90030,"St. Joseph St. Joseph Aspirin Chewable Orange, Orange 36 tabs 81 mg (Pack of 3)",B00E4MSWC8,https://www.amazon.ca/dp/B00E4MSWC8,3,3,40,120,40,$270.40,$6.76,,,complete,120,0,0,40,,1/20/2025,NO SLIP,,30618,30601,4,FBA90030,3,
561_0000015,,1/9/2025,114-9888697-8300260,amazon-FBM,,UK,30197,"Reflo Smart Cup, Drinking Cup, Clear",B00FVZ92IK,https://www.amazon.com/dp/B0B9LPHSK3?smid=A3TSQKAV38RJQX&ref_=chk_typ_imgToDp,1,4,20,80,80,$599.80,$7.50,,,complete,80,0,0,80,,1/16/2025,,,30052,30147,1,30197,1,
561_0000016,,1/9/2025,114-6580692-3468216,amazon.com,,UK,30622,"Mod Podge CS11301 8 oz Matte Waterbase Sealer, Glue and Finish, Clear			",B000HWY6EM,https://www.amazon.co.uk/Mod-Podge-Waterbase-Sealer-Finish/dp/B000HWY6EM/ref=sr_1_1?crid=3L9TWTH6SDGEK&dib=eyJ2IjoiMSJ9.AtMvOM4J1CD6iBgRpf8VSA.lGF1tppOzVKbmVfvq6zR83NEsbLZFgvg7UKY7l_MZqI&dib_tag=se&keywords=B000HWY6EM&qid=1751665906&sprefix=b000hwy6em%2Caps%2C111&sr=8-1&th=1,1,12,10,120,120,$385.00,$3.21,,,complete,120,0,0,120,,1/16/2025,,,30011,30702,1,30622,1,
561_0000017,,1/9/2025,114-0459661-2129827,amazon-FBA,,UK,30523,"Fruit Fly Drain Treatment | Drain Fly Eliminator | All-Natural, Eliminates Gnats, Sewer Flies and More - Works in All Drains - 32 Fl Oz			",B0BCNF3NCQ,https://www.amazon.com/dp/B0BCNF3NCQ,1,1,30,30,30,$494.10,$16.47,,,complete,30,0,0,30,,1/16/2025,,,30011,,,30523,1,
561_0000018,,1/9/2025,114-0077007-9830608,amazon-FBA,,CA,FBA741,[5 PCS] KDS Nail Tip Glue - 0.07 oz for each glue,B01NCZVOB3,https://www.amazon.ca/dp/B01NCZVOB3,5,100,4,400,80,$135.96,$1.70,,,complete,400,0,0,80,,1/17/2025,,,30618,,,FBA741,5,
561_0000019,,1/9/2025,114-6624097-5837833,amazon-FBA,,CA,FBA741,[5 PCS] KDS Nail Tip Glue - 0.07 oz for each glue,B01NCZVOB3,https://www.amazon.ca/dp/B01NCZVOB3,5,100,4,400,80,$135.96,$1.70,,,complete,400,0,0,80,,1/17/2025,,,30670,,,FBA741,5,
561_0000020,,1/9/2025,114-1164153-6350644,amazon-FBA,,CA,FBA498,Keep Fresh Packet W10346771A Refrigerator Produce Preserver Replacement (6 Packets-3 Pack),B08KZNMQ72,https://www.amazon.ca/dp/B08KZNMQ72,6,6,100,600,100,$809.00,$8.09,,,complete,600,0,0,100,,1/17/2025,"6CT- 3PK: BU URUN KENDI PAKETINDE TEKLI OLARAK GELIYOR, PPC VE BUNDLE COUNT 1 OLARAK YAZILABILIR, TEREDDUT OLUSTURMAZ. SADECE LABEL ISLEMI GERCEKLESTIRIYORUZ.",,30011,,,FBA498,6,
561_0000021,,1/9/2025,114-6478142-3116254,amazon.com,,UK,30105,REVLON Universal Points Sharpener TAILLE CRAYON UNIVERSAL POINTS			,B004K0MSOM,https://www.amazon.com/dp/B004K0MSOM,1,1,100,100,100,$344.00,$3.44,,,partial,98,0,2,98,,1/16/2025,,,30737,,,30105,1,
561_0000022,,1/9/2025,114-7521753-7877816,amazon.com,,UK,30150,"DenTek Kids Fun Flossers, Fits Tight Teeth, 15 More Picks 90 Floss Count			",B096T141KR,https://www.amazon.com/dp/B096T141KR?smid=ATVPDKIKX0DER&ref_=chk_typ_imgToDp,1,1,200,200,200,$528.20,$2.64,,,partial,199,0,1,199,,1/16/2025,,,30618,,,30150,1,
561_0000023,,1/10/2025,114-3121359-1971414,amazon.com,,CA,FBA90122,"Shout Color Catcher Sheets for Laundry, Maintains Clothes Original Colors, 72 Count",B07HKF7895,https://www.amazon.ca/Catcher-Laundry-Maintains-Clothes-Original/dp/B07HKF7895/ref=sr_1_5?crid=29IPSPLYBPRPY&dib=eyJ2IjoiMSJ9.hk7Jn1IUkfhaHlGfImLnIQ.6X6-UMdji0Q4UaZS0TsB4BLm1Ki87Vwr47UzTlhLe_4&dib_tag=se&keywords=B07HKF7895&qid=1736502844&sprefix=b07hkf7895%2Caps%2C209&sr=8-5&th=1,1,4,10,40,40,$358.72,$8.97,Ayni üründen iki listing var. FBA529 ile aynı. Bilginiz olsun!!!,,complete,40,0,0,40,,1/16/2025,,,30625,,,FBA90122,1,
561_0000024,,1/10/2025,111-2989492-9003447,amazon.com,,UK,30107,"Downy Travel Sized Wrinkle Release Spray 90 ml, Pack of 3",B010LXN33G,https://www.amazon.com/Downy-Wrinkle-Release-Eliminator-Refresher/dp/B01FWJDIJ8/ref=sr_1_1?s=hpc&sr=1-1,3,12,75,900,300,"$1,253.70",$4.18,,,complete,900,0,0,300,,1/16/2025,https://shipfifty-561.slack.com/archives/C0834EYCHT9/p1740863346461589,,30801,,,30107,3,
561_0000025,,1/10/2025,111-8841127-3698606,amazon-FBA,,CA,FBA90123,"Whole Naturals EWG Verified & Certified Palm Oil Free, Castile Liquid Soap - 64 oz. - Unscented, Mild & Gentle Non-GMO & Vegan - Formulated with Carrier Organic Oils",B08Y9691J6,https://www.amazon.ca/Naturals-Verified-Certified-Castile-Liquid/dp/B08Y9691J6/ref=sr_1_5?crid=3RU5ACX5IMXBD&dib=eyJ2IjoiMSJ9.-zcFz0kZTdJaQPJ5Bi_Bsw.3vuHpS8tkYbL3pzidjYSU1A4atmwsH3vfGOYavNCuFg&dib_tag=se&keywords=B08Y9691J6&qid=1736513162&sprefix=b08y9691j6%2Caps%2C407&sr=8-5,1,2,10,20,20,$474.50,$23.73,,,complete,20,0,0,20,,1/17/2025,,,30608,,,FBA90123,1,
561_0000026,,1/10/2025,111-9402912-2986648,amazon-FBA,,CA,FBA90124,Talc Free Foot Powder 5.0 OZ ( Pack of 2),B085X3VR1D,https://www.amazon.ca/Arm-Hammer-Talc-Free-Foot-Powder/dp/B085X3VR1D/ref=sr_1_5?crid=EF2ILIPE3KAG&dib=eyJ2IjoiMSJ9.I5OiCuMmUmXrXky34Medvg.eVbnqwiG08JiGbc0T9tNgIheiYB412bZNSwLIigolGQ&dib_tag=se&keywords=B085X3VR1D&qid=1736522487&sprefix=b085x3vr1d%2Caps%2C451&sr=8-5&th=1,2,2,20,40,20,$149.60,$7.48,,,complete,40,0,0,20,,1/16/2025,,,30011,,,FBA90124,2,
561_0000027,,1/10/2025,114-6067705-2371461,amazon-FBA,,UK,30366,Vaseline 3 Pk Healthy White Skin Lightening Lotion 100Ml Each,B00LLO6ENQ,https://www.amazon.com/dp/B00LLO6ENQ?psc=1&smid=A1PSX2Q6O3EY9F&ref_=chk_typ_imgToDp,3,3,30,90,30,$250.50,$8.35,,,complete,90,0,0,30,,1/16/2025,,,30011,,,30366,3,
561_0000028,,1/10/2025,114-9674061-6804221,amazon.com,,UK,30378,Nivea For Men Maximum Hydration Nourishing Lotion for Dry Skin 16.9 Ounce			,B00DEX61A8,https://www.amazon.com/dp/B00DEX61A8?psc=1&smid=A2Q1LRYTXHYQ2K&ref_=chk_typ_imgToDp,1,1,100,100,100,$529.00,$5.29,,,complete,100,0,0,100,,1/17/2025,https://shipfifty-561.slack.com/archives/C0834EYCHT9/p1740864089117729,,30124,,,30378,1,
561_0000029,,1/10/2025,114-4522492-8769044,amazon.com,,UK,30386,POLIGRIP POWER MAX DENTURE ADHESIVE CREAM 2.2 OZ,B0BM4HG7N8,https://www.amazon.com/Super-Poli-Grip-Denture-Premium-Peppermint/dp/B0BM4HG7N8/ref=sr_1_1?s=beauty&sr=1-1,4,4,30,120,30,$559.80,$18.66,,,complete,120,0,0,30,,1/16/2025,,,30458,,,30386,4,
561_0000030,,1/10/2025,111-0494206-2932255,amazon.com,,CA,FBA90125,"Barilla Protein Plus Spaghetti Pasta, 14.5 Ounce",B00EVTE0N4,https://www.amazon.ca/Barilla-Protein-Spaghetti-Pasta-Ounce/dp/B00EVTE0N4/ref=sr_1_5?crid=17BTCT0C1QTF0&dib=eyJ2IjoiMSJ9.uzSylaQtnrL22X07UXBRjg.iHl1KgF5mUysBtmNxDPuFV4xOw4BEs_z6gcFd5ezlV8&dib_tag=se&keywords=B00EVTE0N4&qid=1736533546&sprefix=b00evte0n4%2Caps%2C200&sr=8-5&th=1,1,20,4,80,80,$100.80,$1.26,,,complete,80,0,0,80,,1/17/2025,,,30804,,,FBA90125,1,
561_0000031,,1/10/2025,114-6532230-1998603,amazon.com,,CA,FBA90098,"Elmer's Disappearing Purple School Glue Sticks, 0.24 Ounce Each, 60-Pack (E503)",B009D9Y6SG,https://www.amazon.ca/Elmers-Disappearing-Purple-60-Pack-E503/dp/B009D9Y6SG/ref=sr_1_3?crid=EJRMEX7IEGZ8&dib=eyJ2IjoiMSJ9.sSE9Rtm1SofJ29A_VKualQ.mkSumtgLktfKoslblf_dVCGnkQPmWAqvmYKRQ9n0-PY&dib_tag=se&keywords=B009D9Y6SG&qid=1736544926&sprefix=b08dcyhszn%2Caps%2C604&sr=8-3&th=1,60,60,40,2400,40,$506.00,$12.65,40 alındı. 16-Undeliverable-REFUNDED,,partial,1440,0,960,24,,1/17/2025,,,30200,,,FBA90098,60,
561_0000032,,1/10/2025,114-5693099-0721808,amazon.com,,CA,FBA90082,"Weiman Leather Wipes - Clean and Condition Car Seats, Shoes, Couches and More - 30 Count",B00119XYFM,https://www.amazon.ca/Weiman-Leather-Wipes-Condition-Couches/dp/B00119XYFM/ref=sr_1_1?crid=2IQGP3SECAFT6&dib=eyJ2IjoiMSJ9.ff90mEy7qiM4YgN6gzgidw.6EI66BbFR06ZDsDgl6HOpM0IUeZ2l1ch8uHgJeNSLWg&dib_tag=se&keywords=B00119XYFM&qid=1736547429&sprefix=b009d9y6sg%2Caps%2C594&sr=8-1,1,1,60,60,60,$192.60,$3.21,,,complete,60,0,0,60,,1/17/2025,,,30601,,,FBA90082,1,
561_0000033,,11/17/2024,114-9990537-0275468,shipfifty stock,,CA,FBA714,"Reach Listerine Ultra Clean Access Flosser Mint Refill Heads, 28 Count",B00N5XRYTE,https://www.amazon.ca/dp/B00N5XRYTE,1,1,180,180,180,$604.80,$3.36,FBA90009-Depoda. Gated olduğundan bu asine alınanlar buraya kaydedilecek.,,complete,180,0,0,180,,1/17/2025,11637.25-01-17.4430 ile sevk edildi.,,30458,,,FBA714,1,
561_0000034,,1/10/2025,114-1021781-8042619,amazon.com,,UK,30442,"Vagisil Odor Block Daily Intimate Vaginal Wash, 12 Ounce			",B00GS6ORQI,https://www.amazon.com/dp/B085WGSMX2?smid=A2Q1LRYTXHYQ2K&ref_=chk_typ_imgToDp,1,3,20,60,60,$285.00,$4.75,,,complete,60,0,0,60,,1/16/2025,,,30670,,,30442,1,
561_0000035,,1/10/2025,934171735,iherb,,CA,FBA395,Carlson Kid's Chewable Iron 15 mg 60 Tablets,B07JH99MZL,https://www.amazon.ca/dp/B07JH99MZL?th=1&psc=1,1,1,36,36,36,$250.29,$6.95,RETURN YAPILDI-1Z4556F10358758633 Delivered 02/11/2025,,complete,0,36,0,0,,1/15/2025,RETURN EDILECEK,,30011,,,FBA395,1,
561_0000036,,1/10/2025,934172245,iherb,,CA,FBA395,Carlson Kid's Chewable Iron 15 mg 60 Tablets,B07JH99MZL,https://www.amazon.ca/dp/B07JH99MZL?th=1&psc=1,1,1,36,36,36,$250.29,$6.95,RETURN YAPILDI-1Z4556F10358800005 Delivered  02/17/2025,,complete,0,36,0,0,,1/15/2025,RETURN EDILECEK,,30147,,,FBA395,1,
561_0000037,,1/11/2025,934171735,iherb,,UK,30451,"Cafe Bustelo Espresso Ground Coffee, 10 Ounce Can, Packaging May Vary",B00196WXNG,https://www.amazon.co.uk/dp/B00196WXNG?th=1&psc=1,1,1,36,36,36,$188.73,$5.24,"Miss yok, PO 934317660a (sıra 169) kabul yapılmış 4 adet",,partial,32,0,4,32,,1/15/2025,NO SLIP,,30702,,,30451,1,
561_0000038,,1/12/2025,934172245,iherb,,UK,30451,"Cafe Bustelo Espresso Ground Coffee, 10 Ounce Can, Packaging May Vary",B00196WXNG,https://www.amazon.co.uk/dp/B00196WXNG?th=1&psc=1,1,1,18,18,18,$94.36,$5.24,pls match order # and tracking #,,complete,18,0,0,18,,1/15/2025,NO SLIP,,30147,,,30451,1,
561_0000039,,1/13/2025,934171735,iherb,,UK,30581,Café Bustelo Espresso Style Instant Coffee 199g,B01MAWBNWZ,https://www.amazon.co.uk/dp/B01MAWBNWZ?th=1&psc=1,1,1,36,36,36,$206.55,$5.74,pls match order # and tracking #,,complete,36,0,0,36,,1/15/2025,NO SLIP,,30200,,,30581,1,
561_0000040,,1/14/2025,934172245,iherb,,UK,30581,Café Bustelo Espresso Style Instant Coffee 199g,B01MAWBNWZ,https://www.amazon.co.uk/dp/B01MAWBNWZ?th=1&psc=1,1,1,36,36,36,$206.55,$5.74,pls match order # and tracking #,,complete,36,0,0,36,,1/15/2025,NO SLIP,,30601,,,30581,1,
561_0000041,,1/12/2025,114-1518327-8505839,amazon-FBA,,CA,FBA90026,Sulphur Soap Murray & Lanman 3.3 Oz by Murray & Lanman,B00CEK3S9E,https://www.amazon.ca/Sulphur-Soap-Murray-Lanman-3-3/dp/B00CEK3S9E/ref=sr_1_1?crid=25BNZ9NDE3QLR&dib=eyJ2IjoiMSJ9.04TvdRYtrHsFcDXPJ_KAhw.spBlJ75-sWprlQl-aAtemWo6cpBzyxgRfXqbwLur8ZM&dib_tag=se&keywords=B00CEK3S9E&qid=1736688699&sprefix=b00cek3s9e%2Caps%2C384&sr=8-1,1,4,25,100,100,$237.26,$2.37,100 miss refund exceline eklendi,,awaiting,0,0,100,0,,12/30/1899,,,,,,FBA90026,1,
561_0000042,,1/13/2025,111-3446425-5897041,amazon.com,,UK,30731,Kodiak Power Cakes Buttermilk 20OZ,B06WVG4YFK,https://www.amazon.co.uk/Kodiak-Cakes-Whole-Flapjack-Waffle/dp/B06WVG4YFK/ref=sr_1_5?crid=PGB8MUVVYVI6&dib=eyJ2IjoiMSJ9.pp198MllikVxUbsi54yPyg.KkqFmi_em8INvhgj7fwYAldf-PKNiAl5ZOrm-jjn-c8&dib_tag=se&keywords=B06WVG4YFK&nsdOptOutParam=true&qid=1736721677&sprefix=b06wvg4yfk%2Caps%2C238&sr=8-5,1,6,6,36,36,$177.84,$4.94,,,complete,36,0,0,36,,1/21/2025,,,,,,30731,1,
561_0000043,,1/13/2025,114-6394663-8940208,amazon-FBA,,CA,FBA90005,"[16 PK] Clothing Moth Traps  - Non Toxic Moth Traps for Clothes with Pheromone Attractant - Closet Moth Traps Odorless Sticky Traps for Closet, Carpets - Trap a Pest",B0BB7J8DFQ,https://www.amazon.ca/Clothing-Moth-Traps-Pack-Attractant/dp/B0BB7J8DFQ/ref=sr_1_5?crid=2BG07CM9H8SVO&dib=eyJ2IjoiMSJ9.yBbQRGeJH8vpMs0IIHa2sw.VVUQLh8VtkQoMVieiBSq81LlGQxDGJ0NUWM7ohWpTks&dib_tag=se&keywords=B0BB7J8DFQ&qid=1736721158&sprefix=b0bb7j8dfq%2Caps%2C385&sr=8-5,16,16,9,144,9,$144.83,$16.09,,,complete,144,0,0,9,,1/16/2025,,,,,,FBA90005,16,
561_0000044,,1/13/2025,114-3461466-2983460,amazon-FBA,,CA,FBA90005,"[16 PK] Clothing Moth Traps  - Non Toxic Moth Traps for Clothes with Pheromone Attractant - Closet Moth Traps Odorless Sticky Traps for Closet, Carpets - Trap a Pest",B0BB7J8DFQ,https://www.amazon.ca/Clothing-Moth-Traps-Pack-Attractant/dp/B0BB7J8DFQ/ref=sr_1_5?crid=2BG07CM9H8SVO&dib=eyJ2IjoiMSJ9.yBbQRGeJH8vpMs0IIHa2sw.VVUQLh8VtkQoMVieiBSq81LlGQxDGJ0NUWM7ohWpTks&dib_tag=se&keywords=B0BB7J8DFQ&qid=1736721158&sprefix=b0bb7j8dfq%2Caps%2C385&sr=8-5,16,16,9,144,9,$144.83,$16.09,,,complete,144,0,0,9,,1/16/2025,,,,,,FBA90005,16,
561_0000045,,1/13/2025,114-1609949-1229044,amazon-FBA,,CA,FBA90005,"[16 PK] Clothing Moth Traps  - Non Toxic Moth Traps for Clothes with Pheromone Attractant - Closet Moth Traps Odorless Sticky Traps for Closet, Carpets - Trap a Pest",B0BB7J8DFQ,https://www.amazon.ca/Clothing-Moth-Traps-Pack-Attractant/dp/B0BB7J8DFQ/ref=sr_1_5?crid=2BG07CM9H8SVO&dib=eyJ2IjoiMSJ9.yBbQRGeJH8vpMs0IIHa2sw.VVUQLh8VtkQoMVieiBSq81LlGQxDGJ0NUWM7ohWpTks&dib_tag=se&keywords=B0BB7J8DFQ&qid=1736721158&sprefix=b0bb7j8dfq%2Caps%2C385&sr=8-5,16,16,9,144,9,$144.83,$16.09,,,complete,144,0,0,9,,1/16/2025,,,,,,FBA90005,16,
561_0000046,,1/13/2025,111-7194552-9249007,amazon-FBA,YES,UK,30732,"Chateau Spill Red Wine Stain Remover, Biodegradable, Chlorine Free, 4-Ounce Bottle",B012YS79A4,https://www.amazon.co.uk/Chateau-Spill-Wine-Stain-Remover/dp/B012YS79A4/ref=sr_1_5?crid=18O1RZ0E6MLU8&dib=eyJ2IjoiMSJ9.GUblbJXnLxMS10QDbNxAIg.ak-i3VPRQKCra2MGtFeBegbt1vaI8l1h20EJeWaNRYI&dib_tag=se&keywords=B012YS79A4&nsdOptOutParam=true&qid=1736764707&sprefix=b012ys79a4%2Caps%2C265&sr=8-5,1,3,10,30,30,$172.00,$5.73,,,complete,30,0,0,30,,1/22/2025,,,,,,30732,1,
561_0000047,,1/13/2025,111-1237234-6029017,amazon.com,,UK,30733,"Bob's Red Mill, Steel Cut Oats, 1.53kg",B07FWBNMT2,https://www.amazon.co.uk/Bobs-Red-Mill-Steel-1-53kg/dp/B07FWBNMT2/ref=sr_1_1?crid=25WSQDEWJBRMZ&dib=eyJ2IjoiMSJ9.H-XaBeeOGYaf68lZWELPtA.Tcd-WS4GZ3rHpg0eCO5w3adv9Vo3f9iuvD3pgeTvnBI&dib_tag=se&keywords=B07FWBNMT2&nsdOptOutParam=true&qid=1736769108&sprefix=b07fwbnmt2%2Caps%2C263&sr=8-1,1,4,10,40,40,$261.60,$6.54,,,complete,39,1,0,39,,1/22/2025,NO SLIP TBADD0020722231//8//0,,,,,30733,1,
561_0000048,,1/13/2025,114-6547758-0266652,amazon.com,,CA,FBA553,"Nature Nate's 100% Pure, Raw and Unfiltered Honey, 32 Oz.",B00CMQD3VS,https://www.amazon.ca/Nature-Nates-Unfiltered-Honey-Ounce/dp/B00CMQD3VS/ref=sr_1_5?crid=3GFBMRSNGNSOE&dib=eyJ2IjoiMSJ9.WFx9J4Qdh6aQe3ING3MqjA.gM4h2DeoQYcbO6LFtuoNnT0cRAqMHLnODToKdf5xvuw&dib_tag=se&keywords=B00CMQD3VS&qid=1736774423&sprefix=b00cmqd3vs%2Caps%2C360&sr=8-5,1,1,80,80,80,$696.80,$8.71,4 DMG REFUNDED,,complete,76,4,0,76,,1/17/2025,,,,,,FBA553,1,
561_0000049,,1/13/2025,114-6133268-3601004,amazon.com,,CA,FBA689,"Kiss Powerflex Nail Glue, 0.10 Oz.",B08QYD4D77,https://www.amazon.ca/KISS-PowerFlex-Strength-Twist-Off-Applicator/dp/B08QYD4D77/ref=sr_1_4?crid=2LL6GSCHFXFLN&dib=eyJ2IjoiMSJ9.qnmFF94NGjB-UjTCL1tqhw.6cJx8HCCBW1c2xeWi32re1GvLSXSy9DTl5KoqKjFA0E&dib_tag=se&keywords=B08QYD4D77&qid=1736775531&sprefix=b00cmqd3vs%2Caps%2C533&sr=8-4,1,1,100,100,100,$197.00,$1.97,,,extra units,102,0,0,102,,1/17/2025,,,,,,FBA689,1,
561_0000050,,1/13/2025,114-3277561-8646664,amazon.com,,CA,FBA714,"Reach Listerine Ultra Clean Access Flosser Mint Refill Heads, 28 Count",B00N5XRYTE,https://www.amazon.ca/Listerine-Ultra-Access-Flosser-Refill/dp/B00N5XRYTE/ref=sr_1_5?crid=38BKJSQ77Y3R0&dib=eyJ2IjoiMSJ9.6XShnf9pThAW4iBQKdICxQ.3_e1j-o6TH8ydZWw7vedTkcYHuZvzWrnXrbGDXjRosQ&dib_tag=se&keywords=B00N5XRYTE&qid=1736776100&sprefix=b00n5xryte%2Caps%2C340&sr=8-5,1,1,200,200,200,$672.00,$3.36,,,complete,200,0,0,200,,1/17/2025,,,,,,FBA714,1,
