warehouse_order_line_ID,warehouse_order_date,purchase_order_date,purchase_order_no,vendor,is_hazmat,selling_marketplace,selling_marketplace_client_SKU,selling_marketplace_product_title,selling_marketplace_ASIN,selling_marketplace_photo_link,selling_marketplace_bundle_count,purchase_bundle_count,purchase_order_quantity,purchase_order_quantity_single_units,total_sellable_units,total_warehouse_order_cost,sellable_unit_cost,notes_to_warehouse,,warehouse_order_receiving_status,received_single_units_quantity,received_single_units_damaged_quantity,awaiting_single_units,received_sellable_units_quantity,first_received_date,last_received_date,warehouse_notes,FORMULA_HELPER
258_0000052,,11/28/2024,114-3366682-3770614,(amazon) Amazon.com,,CA,B0015ZC1G0,"Mario Badescu Super Rich Olive Body Lotion for Dry Skin, Non-Greasy and Creamy Skin Care Moisturizer Infused with Olive Oil, Ideal for All Skin Types, 6 Fl Oz",,https://amazon.com/dp/B0015ZC1G0,1,1,20,20,20,$120.00,$6.00,,,awaiting,0,0,20,0,,12/30/1899,,
258_0000053,,11/28/2024,114-6095693-4187456,(amazon) Amazon,,CA,B01BMMOAFU,"KISS Strip Lash Adhesive, Lash Glue, 24hr Strip Eyelash Adhesive, Clear, Includes Lash Adhesive, Long Lasting Wear, Can Be Used with Strip Lashes and Lash Clusters",,https://amazon.com/dp/B01BMMOAFU,1,1,27,27,27,$67.23,$2.49,,,awaiting,0,0,27,0,,12/30/1899,,
258_0000054,,11/29/2024,114-9142096-6319463,(amazon) IT is Sweet,,CA,B0938SVXTM,"Orgnisulmte Canada Black Garlic Fermented for 90 Days 100% Natural Multi Clove Garlic Hand Selected in CANADA,Ready to Eat 8 oz",,https://amazon.com/dp/B0938SVXTM,1,1,15,15,15,$129.33,$8.62,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000055,,11/29/2024,114-5456639-9553002,(amazon) The Hate Stains Co.,,CA,B012YS79A4,"Chateau Spill Red Wine Stain Remover for Clothes - 4oz Stain Remover Spray for Stains on Tablecloth, Carpet, Upholstery and Laundry from the makers of Miss Mouth's Messy Eater Stain Treater",,https://amazon.com/dp/B012YS79A4,1,1,10,10,10,$72.90,$7.29,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000056,,11/29/2024,114-7238774-2116210,(amazon) The Hate Stains Co.,,CA,B012YS79A4,"Chateau Spill Red Wine Stain Remover for Clothes - 4oz Stain Remover Spray for Stains on Tablecloth, Carpet, Upholstery and Laundry from the makers of Miss Mouth's Messy Eater Stain Treater",,https://amazon.com/dp/B012YS79A4,1,1,10,10,10,$72.90,$7.29,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000057,,11/29/2024,114-7612983-9788247,(amazon) Amazon.com,,CA,B07WBT412D,"Gatorade Gx Bottle, Plastic, Navy, 30oz",,https://amazon.com/dp/B07WBT412D,1,1,30,30,30,$446.10,$14.87,,,partial,10,0,20,10,,8/5/2025,,
258_0000058,,11/29/2024,114-6955677-4154615,(amazon) Amazon.com,,CA,B0009F3M6A,"Eucerin Advanced Repair Foot Cream, Unscented Foot Cream for Dry Feet and Heels, 3 Oz Tube, Pack of 3",,https://amazon.com/dp/B0009F3M6A,1,1,20,20,20,$293.60,$14.68,,,awaiting,0,0,20,0,,12/30/1899,,
258_0000059,,11/29/2024,114-9134240-9337065,(amazon) ARTEAM ST,,CA,B07DP8BWVS,Fix Your Lid Styling Fiber for Men's Hair - High Hold and Low Shine with Matte Finish - Hair Fiber for all Mens Hair Types & Styles - Easy To Wash Out - 1.7 Oz,,https://amazon.com/dp/B07DP8BWVS,1,1,10,10,10,$64.40,$6.44,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000060,,11/29/2024,114-5246556-3942638,(amazon) BANBALOO,,CA,B0B711MS5Z,"BANBALOO - 2-Pack Inflatable Bed Bumper for Children - Child Fall Protection, Inflatable Travel Bed Rail, for fold-Away, Single, Double, Queen Size, King Size and Montessori beds",,https://amazon.com/dp/B0B711MS5Z,1,1,15,15,15,$479.85,$31.99,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000061,,11/29/2024,114-6434440-9565022,(amazon) Amazon,,CA,B0B8TNK47C,Philips LED White Dial Flicker-Free Frosted Dimmable A19 Light Bulb - EyeComfort Technology - 800 Lumen - 5 Shades of White - 7W=60W - E26 Base - Title 20 Certified - Indoor - 4-Pack,,https://amazon.com/dp/B0B8TNK47C,1,1,10,10,10,$159.30,$15.93,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000062,,11/29/2024,114-9448382-1273837,(amazon) Amazon,,CA,B000VK7PMK,"GHIRARDELLI Semi-Sweet Chocolate Premium Baking Chips, Chocolate Chips for Valentine's Day Cookies, 12 Oz Bag",,https://amazon.com/dp/B000VK7PMK,1,1,7,7,7,$29.33,$4.19,,,complete,5,2,0,5,,12/25/2024,,
258_0000063,,11/29/2024,114-0365415-2106608,(amazon) SeaAgri Solutions,,CA,B0CB4W897C,"Baja Gold Mineral Sea Salt, Fine Grind, 5 Lb. Bag",,https://amazon.com/dp/B0CB4W897C,1,1,10,10,10,$359.91,$35.99,,,complete,10,0,0,10,,12/24/2024,,
258_0000064,,11/29/2024,114-7253802-1897066,(amazon) RawChemistry,,CA,B014Q8YMCI,"RawChemistry For Her A Pheromone Infused Perfume, for Her - Elegance, Extra Strength Formula 1 oz.",,https://amazon.com/dp/B014Q8YMCI,1,1,10,10,10,$234.42,$23.44,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000065,,11/29/2024,114-9520694-4681059,(amazon) Amazon,,CA,B00T85AFAS,"L.A. Girl HD Pro.Conceal, Dark Cocoa GC988",,https://amazon.com/dp/B00T85AFAS,1,1,16,16,16,$40.00,$2.50,,,complete,16,0,0,16,,12/24/2024,,
258_0000066,,11/29/2024,114-0299480-0407472,(amazon) Amazon,,CA,B0001APV44,"Scandinavian Formulas Nozovent Anti-Snoring Device, 2 Count",,https://amazon.com/dp/B0001APV44,1,1,8,8,8,$90.08,$11.26,,,awaiting,0,0,8,0,,12/30/1899,,
258_0000067,,11/29/2024,114-2267848-2465028,(amazon) LeeMark Dental,,CA,B00UB7CB4K,Oral-B End-Tufted Denture Toothbrush,,https://amazon.com/dp/B00UB7CB4K,1,1,12,12,12,$58.56,$4.88,,,awaiting,0,0,12,0,,12/30/1899,,
258_0000068,,11/29/2024,114-9393056-8947449,(amazon) Amazon,,CA,B00INK4OXI,"Stash Tea Meyer Lemon Herbal Tea - Naturally Caffeine Free, Non-GMO Project Verified Premium Tea with No Artificial Ingredients, 100 Count (BULK PACKAGING)",,https://amazon.com/dp/B00INK4OXI,1,1,8,8,8,$151.04,$18.88,,,awaiting,0,0,8,0,,12/30/1899,,
258_0000069,,11/29/2024,114-2168757-9101013,(amazon) Hoosier Hill Farm,,CA,B00B0GGABG,"Hoosier Hill Farm White Cheddar Cheese Powder, 1LB (Pack of 1)",,https://amazon.com/dp/B00B0GGABG,1,1,10,10,10,$129.10,$12.91,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000070,,11/29/2024,114-2591609-5412249,(amazon) Bullfix Fixings,,CA,B092FSQWS7,"Bullfix Universal Drywall Anchors, Holds up to 255lbs, Hollow Wall Anchors for Drywall Heavy Duty Set, Stronger Than Toggle Bolts and Butterfly Screw, Dry Wall Anchors and Screws Kit - 24 Pack",,https://amazon.com/dp/B092FSQWS7,1,1,10,10,10,$199.90,$19.99,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000071,,11/29/2024,114-6900439-8245025,(amazon) Amazon,,CA,B004L8V95C,Urnex Cafiza Espresso Machine Cleaning Tablets 8 Count (Pack of 1),,https://amazon.com/dp/B004L8V95C,1,1,10,10,10,$68.00,$6.80,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000072,,11/29/2024,114-5205231-6081012,(amazon) Amazon,,CA,B0C8212PJ4,"Yellowstone Cowboy BBQ Seasoning and Rub, 5.3oz",,https://amazon.com/dp/B0C8212PJ4,1,1,10,10,10,$64.80,$6.48,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000073,,12/6/2024,23470,sausagemakersupplies,,CA,B0063SY4QE,"A,C, Legg INC Mild Italian Sausage Seasoning by A,C, Legg",,,1,1,24,24,24,$80.05,$3.34,,,complete,24,0,0,24,,12/24/2024,,
258_0000074,,12/6/2024,23470,sausagemakersupplies,,CA,B08GZGWNPP,"A,C, Legg - Fresh Polish Kielbasa Sausage Seasoning - MSG Free - 11 ounce for 25lbs of meat",,,1,1,24,24,24,$109.05,$4.54,,,complete,24,0,0,24,,12/24/2024,,
